TEAM,GP,W,L,MIN,DEF RTG,DREB,DREB%,STL,BLK,"OPP PTS
OFF TOV","OPP PTS
2ND CHANCE","OPP PTS
FB","OPP PTS
PAINT",Season
Golden State Warriors,82,29,53,48.5,111.7,30.4,65.2,7.8,6.4,18.0,17.1,16.8,48.6,2008
Memphis Grizzlies,82,24,58,48.3,108.2,28.5,69.7,7.5,4.7,16.1,12.7,12.3,41.7,2008
Minnesota Timberwolves,82,24,58,48.3,109.9,29.8,71.7,6.2,3.9,16.5,12.1,13.0,39.8,2008
Oklahoma City Thunder,82,23,59,48.3,107.6,30.5,71.6,7.4,4.5,19.0,13.0,14.0,44.7,2008
Los Angeles Clippers,82,19,63,48.5,110.1,29.0,67.9,7.0,5.9,16.8,14.6,11.9,44.5,2008
Washington Wizards,82,19,63,48.1,112.1,28.4,68.9,7.5,4.5,17.4,13.2,13.7,40.0,2008
Sacramento Kings,82,17,65,48.5,113.4,28.9,66.9,6.9,4.3,18.7,13.9,14.3,45.6,2008
Boston Celtics,82,66,16,48.2,98.1,31.9,70.7,8.5,4.6,16.2,12.5,9.1,34.1,2007
Detroit Pistons,82,59,23,48.1,101.5,29.5,70.0,7.1,5.8,11.8,11.4,9.6,35.2,2007
Los Angeles Lakers,82,57,25,48.2,104.3,33.2,70.2,8.0,5.3,15.8,14.3,11.9,41.2,2007
New Orleans Hornets,82,56,26,48.3,104.4,30.4,71.7,7.8,3.9,12.5,11.3,11.3,38.2,2007
San Antonio Spurs,82,56,26,48.1,100.7,31.9,73.3,6.4,4.1,14.0,10.5,11.5,35.5,2007
Houston Rockets,82,55,27,48.1,100.5,32.4,71.1,7.3,5.1,14.4,12.7,12.9,35.8,2007
Phoenix Suns,82,55,27,48.2,107.0,32.7,67.4,6.5,6.3,16.1,15.4,12.2,44.8,2007
Utah Jazz,82,54,28,48.1,104.9,29.4,71.0,8.7,4.3,16.2,12.8,13.6,39.7,2007
Orlando Magic,82,52,30,48.2,104.9,32.6,70.9,6.3,4.1,16.1,12.7,12.5,37.4,2007
Dallas Mavericks,82,51,31,48.1,104.7,32.2,71.6,6.0,4.9,13.9,12.9,12.8,39.2,2007
Denver Nuggets,82,50,32,48.4,105.5,32.9,68.6,9.2,6.7,17.0,14.6,14.2,43.0,2007
Golden State Warriors,82,48,34,48.2,108.5,30.4,67.2,9.1,4.6,15.6,15.7,14.3,45.0,2007
Cleveland Cavaliers,82,45,37,48.4,105.4,31.3,71.5,7.1,5.2,15.8,11.3,12.4,37.5,2007
Washington Wizards,82,43,39,48.5,107.9,29.3,69.5,7.7,4.8,15.0,13.1,12.9,37.6,2007
Portland Trail Blazers,82,41,41,48.5,106.8,29.7,68.4,5.5,4.4,14.5,13.5,12.5,40.5,2007
Toronto Raptors,82,41,41,48.4,105.6,30.4,70.9,7.0,4.1,13.6,11.7,10.6,37.6,2007
Philadelphia 76ers,82,40,42,48.2,104.7,28.9,68.8,8.7,4.9,15.0,13.1,10.0,40.9,2007
Sacramento Kings,82,38,44,48.4,108.6,30.0,68.9,7.9,4.1,18.4,13.6,13.1,41.4,2007
Atlanta Hawks,82,37,45,48.4,107.3,29.9,68.2,7.3,5.5,17.2,14.2,13.3,43.5,2007
Indiana Pacers,82,36,46,48.2,106.3,32.1,70.1,7.6,5.0,17.2,13.2,12.0,37.0,2007
New Jersey Nets,82,34,48,48.4,107.7,30.7,70.6,6.4,4.8,16.7,13.4,12.7,37.4,2007
Chicago Bulls,82,33,49,48.3,106.0,30.2,68.7,7.7,5.2,16.4,12.7,12.9,35.6,2007
Charlotte Bobcats,82,32,50,48.5,108.2,29.8,67.4,7.5,4.9,16.8,15.0,13.5,43.9,2007
Milwaukee Bucks,82,26,56,48.4,111.1,28.8,69.4,6.6,4.4,17.2,13.0,14.2,41.6,2007
Los Angeles Clippers,82,23,59,48.3,107.4,30.4,70.3,6.8,4.9,15.7,13.2,10.4,43.5,2007
New York Knicks,82,23,59,48.5,110.4,30.0,69.7,6.4,2.6,17.3,13.5,12.5,41.0,2007
Memphis Grizzlies,82,22,60,48.3,110.2,31.3,70.6,6.1,4.7,18.0,13.0,16.2,45.8,2007
Minnesota Timberwolves,82,22,60,48.1,110.0,29.6,70.3,7.5,3.7,17.8,13.0,14.5,38.9,2007
Seattle SuperSonics,82,20,62,48.4,108.3,32.8,70.0,6.5,4.9,18.3,13.9,14.1,44.2,2007
Miami Heat,82,15,67,48.4,108.8,28.6,68.1,7.2,4.3,17.0,13.9,13.5,38.8,2007
Dallas Mavericks,82,67,15,48.2,102.1,30.7,71.9,6.8,5.0,15.2,11.4,12.7,36.9,2006
Phoenix Suns,82,61,21,48.5,105.5,31.5,68.3,6.7,4.8,16.2,15.3,10.5,42.3,2006
San Antonio Spurs,82,58,24,48.2,99.4,31.4,71.5,7.2,5.1,15.3,12.4,10.8,38.9,2006
Detroit Pistons,82,53,29,48.5,102.6,29.0,67.8,7.1,5.8,13.2,13.3,11.2,37.2,2006
Houston Rockets,82,52,30,48.4,99.7,32.6,72.5,7.1,4.1,14.8,11.6,9.6,33.0,2006
Utah Jazz,82,51,31,48.3,105.6,30.0,72.1,7.0,4.1,17.5,11.1,12.2,38.2,2006
Cleveland Cavaliers,82,50,32,48.5,100.6,30.8,72.1,7.6,4.3,14.7,12.3,10.7,38.1,2006
Chicago Bulls,82,49,33,48.2,98.8,31.7,70.7,7.8,5.4,17.2,11.9,10.7,35.1,2006
Toronto Raptors,82,47,35,48.2,104.4,30.2,71.1,7.1,3.9,15.1,12.6,11.7,40.0,2006
Denver Nuggets,82,45,37,48.2,105.1,31.2,67.8,8.3,5.3,18.6,14.3,14.6,44.8,2006
Miami Heat,82,44,38,48.4,104.6,30.8,69.3,6.9,5.4,16.4,13.3,12.8,36.1,2006
Golden State Warriors,82,42,40,48.2,106.5,29.9,66.2,9.1,5.7,18.3,16.0,13.4,43.9,2006
Los Angeles Lakers,82,42,40,48.9,107.5,30.4,69.0,7.3,5.1,18.2,14.1,12.2,43.7,2006
New Jersey Nets,82,41,41,48.5,105.1,30.8,71.4,6.1,3.3,16.6,12.5,11.1,35.6,2006
Washington Wizards,82,41,41,48.4,109.1,29.0,67.8,7.7,4.6,16.1,14.4,13.3,41.6,2006
Los Angeles Clippers,82,40,42,48.1,104.2,30.3,71.2,7.3,5.8,16.5,12.1,9.0,40.0,2006
Orlando Magic,82,40,42,48.2,103.3,29.5,69.7,6.9,5.1,18.0,11.6,13.0,34.0,2006
New Orleans/Oklahoma City Hornets,82,39,43,48.5,105.4,30.6,71.9,6.4,4.2,16.1,13.0,11.9,37.8,2006
Indiana Pacers,82,35,47,48.2,104.4,29.8,69.4,7.3,5.5,18.5,13.2,12.6,38.7,2006
Philadelphia 76ers,82,35,47,48.5,105.6,28.7,67.8,7.2,4.8,17.2,14.3,11.9,41.2,2006
Charlotte Bobcats,82,33,49,48.8,106.3,28.6,68.2,7.8,4.5,16.9,12.9,13.1,42.0,2006
New York Knicks,82,33,49,48.8,107.4,30.7,71.4,6.6,3.2,18.4,13.2,10.1,38.1,2006
Sacramento Kings,82,33,49,48.3,106.7,29.2,69.2,8.2,3.2,15.5,12.8,12.5,41.9,2006
Minnesota Timberwolves,82,32,50,48.8,106.5,30.2,69.8,6.5,4.0,17.5,13.8,11.8,40.4,2006
Portland Trail Blazers,82,32,50,48.7,108.6,28.0,69.7,6.8,4.6,18.3,12.6,13.9,41.2,2006
Seattle SuperSonics,82,31,51,48.4,108.9,28.3,67.6,7.7,3.7,17.7,14.7,12.6,43.6,2006
Atlanta Hawks,82,30,52,48.5,107.0,28.2,67.6,7.4,5.4,18.1,13.7,13.3,43.0,2006
Milwaukee Bucks,82,28,54,48.4,110.3,27.7,65.7,7.2,2.7,17.5,14.2,12.9,43.5,2006
Boston Celtics,82,24,58,48.4,105.8,29.2,70.5,7.2,4.7,18.2,12.0,12.4,41.7,2006
Memphis Grizzlies,82,22,60,48.7,110.9,29.0,68.2,6.9,5.0,19.8,14.2,14.6,45.4,2006
Detroit Pistons,82,64,18,48.4,101.7,28.6,68.0,7.1,6.0,13.5,12.6,11.4,40.1,2005
San Antonio Spurs,82,63,19,48.3,98.7,31.1,70.8,6.6,5.7,13.1,11.8,11.0,39.1,2005
Dallas Mavericks,82,60,22,48.5,103.2,29.6,69.0,7.2,6.0,14.0,12.8,12.3,35.9,2005
Phoenix Suns,82,54,28,48.7,104.7,32.3,69.0,6.7,5.0,14.9,14.6,11.2,41.4,2005
Miami Heat,82,52,30,48.2,103.4,32.6,72.6,6.4,5.4,16.4,11.9,12.4,35.3,2005
Cleveland Cavaliers,82,50,32,48.4,104.4,30.6,71.7,6.9,4.8,15.6,11.9,10.8,37.2,2005
Memphis Grizzlies,82,49,33,48.4,100.4,29.0,69.0,7.3,5.4,14.8,12.6,12.3,36.3,2005
New Jersey Nets,82,49,33,48.2,100.9,31.0,73.0,6.8,3.4,14.7,10.7,11.3,34.4,2005
Los Angeles Clippers,82,47,35,48.3,102.2,33.0,71.9,6.5,6.1,15.7,12.5,9.8,39.0,2005
Los Angeles Lakers,82,45,37,48.4,104.2,30.3,70.1,7.7,4.3,14.0,13.2,10.1,39.1,2005
Denver Nuggets,82,44,38,48.6,104.1,30.3,68.2,8.5,5.6,16.7,14.2,14.2,41.1,2005
Sacramento Kings,82,44,38,48.4,103.5,30.2,69.4,7.4,3.6,16.5,12.8,12.1,39.9,2005
Washington Wizards,82,42,40,48.4,105.8,28.6,67.9,8.0,4.1,15.9,13.1,12.5,40.4,2005
Chicago Bulls,82,41,41,48.5,102.7,31.7,70.3,6.2,4.2,16.3,13.1,10.6,32.2,2005
Indiana Pacers,82,41,41,48.1,101.0,31.2,69.9,7.3,5.0,16.2,13.1,11.1,37.9,2005
Utah Jazz,82,41,41,48.5,105.1,29.0,70.2,6.4,6.0,17.6,12.5,12.6,34.6,2005
Milwaukee Bucks,82,40,42,48.4,105.9,29.9,71.3,7.3,3.3,16.7,12.2,12.1,39.7,2005
New Orleans/Oklahoma City Hornets,82,38,44,48.3,105.1,29.0,70.9,7.5,3.8,14.3,12.4,12.0,36.3,2005
Philadelphia 76ers,82,38,44,48.5,106.5,29.6,67.6,7.9,4.9,15.9,14.0,13.4,41.4,2005
Orlando Magic,82,36,46,48.5,106.6,29.3,69.1,6.5,4.4,17.1,13.1,12.3,36.8,2005
Seattle SuperSonics,82,35,47,48.4,112.7,27.2,65.9,7.6,3.7,17.6,15.3,13.3,42.8,2005
Golden State Warriors,82,34,48,48.4,104.9,30.3,68.6,7.4,4.3,16.1,13.7,13.3,40.8,2005
Houston Rockets,82,34,48,48.4,102.1,31.3,70.5,7.2,3.9,15.2,11.6,10.2,30.0,2005
Boston Celtics,82,33,49,48.5,105.6,29.7,69.4,7.0,5.1,18.9,13.2,10.9,39.7,2005
Minnesota Timberwolves,82,33,49,48.4,103.5,29.5,67.3,6.8,5.7,15.5,14.5,10.2,39.6,2005
Toronto Raptors,82,27,55,48.7,111.2,27.9,69.7,6.5,3.3,15.0,12.9,12.4,43.0,2005
Atlanta Hawks,82,26,56,48.5,110.1,27.2,66.7,7.2,4.8,18.1,15.2,12.0,44.4,2005
Charlotte Bobcats,82,26,56,48.5,105.6,27.7,67.8,10.0,4.3,15.5,13.6,11.4,43.4,2005
New York Knicks,82,23,59,48.6,109.3,28.8,69.7,6.8,3.3,20.0,12.9,11.7,37.0,2005
Portland Trail Blazers,82,21,61,48.1,110.3,26.9,65.7,6.5,5.3,17.3,14.0,12.4,38.9,2005
Phoenix Suns,82,62,20,48.2,105.7,32.3,65.6,7.0,5.5,15.9,17.4,12.0,43.2,2004
Miami Heat,82,59,23,48.7,102.2,32.2,69.8,6.4,5.8,14.9,12.9,11.6,34.1,2004
San Antonio Spurs,82,59,23,48.3,97.8,30.4,69.7,7.5,6.6,14.6,12.3,10.9,37.2,2004
Dallas Mavericks,82,58,24,48.1,102.6,30.9,67.4,8.6,5.6,15.0,14.6,13.7,39.8,2004
Detroit Pistons,82,54,28,48.7,99.6,30.6,69.3,7.0,6.1,14.5,12.1,12.3,35.0,2004
Seattle SuperSonics,82,52,30,48.2,108.0,28.2,68.1,6.7,4.1,15.4,13.6,12.1,39.8,2004
Houston Rockets,82,51,31,48.4,100.1,31.7,71.3,6.9,4.6,15.1,11.5,10.1,30.9,2004
Sacramento Kings,82,50,32,48.4,106.5,29.9,66.7,8.2,3.9,15.2,15.0,12.9,42.9,2004
Denver Nuggets,82,49,33,48.2,102.6,30.2,67.8,9.1,6.0,16.0,14.0,13.0,39.2,2004
Chicago Bulls,82,47,35,48.4,99.1,31.6,69.1,7.0,4.5,17.2,12.6,10.3,33.3,2004
Boston Celtics,82,45,37,48.5,105.1,29.7,67.1,8.1,5.2,17.7,15.0,12.4,39.5,2004
Memphis Grizzlies,82,45,37,48.1,101.5,28.1,66.3,8.5,5.8,15.7,14.1,12.4,34.4,2004
Washington Wizards,82,45,37,48.2,105.9,29.0,66.7,8.7,4.2,15.8,14.8,12.2,40.7,2004
Indiana Pacers,82,44,38,48.5,102.7,29.5,68.7,7.5,4.4,14.4,12.5,10.9,35.3,2004
Minnesota Timberwolves,82,44,38,48.2,105.0,31.5,68.2,5.6,5.5,15.2,13.7,11.6,38.6,2004
Philadelphia 76ers,82,43,39,48.4,102.5,30.9,70.3,9.2,3.9,17.4,13.4,10.1,35.0,2004
Cleveland Cavaliers,82,42,40,48.4,104.7,28.7,67.4,8.0,5.6,15.3,13.2,12.6,37.9,2004
New Jersey Nets,82,42,40,48.5,101.6,29.1,70.1,7.9,3.8,14.8,12.6,11.2,32.0,2004
Los Angeles Clippers,82,37,45,48.9,104.5,29.9,68.7,7.3,5.1,17.5,12.9,10.0,39.3,2004
Orlando Magic,82,36,46,48.1,105.7,31.0,68.2,7.7,5.4,17.9,14.1,14.7,40.9,2004
Golden State Warriors,82,34,48,48.5,105.5,29.7,66.6,7.8,5.1,15.7,15.0,13.0,43.0,2004
Los Angeles Lakers,82,34,48,48.2,109.6,30.6,68.0,6.2,4.2,16.9,14.7,13.0,39.8,2004
New York Knicks,82,33,49,48.5,107.2,29.2,68.6,7.7,3.2,16.6,13.5,12.4,40.0,2004
Toronto Raptors,82,33,49,48.3,107.2,29.8,68.2,7.6,3.9,15.3,13.8,11.7,41.9,2004
Milwaukee Bucks,82,30,52,48.2,108.1,29.3,68.7,6.5,3.5,16.2,13.6,15.0,41.9,2004
Portland Trail Blazers,82,27,55,48.1,106.1,29.3,65.0,7.1,6.6,17.7,15.8,14.3,41.6,2004
Utah Jazz,82,26,56,48.2,107.3,27.4,69.5,6.6,4.6,17.8,12.1,13.4,35.6,2004
Charlotte Bobcats,82,18,64,48.5,106.0,28.5,67.6,8.5,5.4,16.6,13.1,14.0,40.8,2004
New Orleans Hornets,82,18,64,48.6,105.9,27.8,67.5,6.7,3.8,17.5,13.6,11.7,36.7,2004
Atlanta Hawks,82,13,69,48.4,109.0,28.5,69.6,7.7,4.2,18.5,13.6,13.1,41.4,2004
Indiana Pacers,82,61,21,48.3,96.2,29.9,70.6,8.9,5.0,14.9,11.4,11.7,35.6,2003
Minnesota Timberwolves,82,58,24,48.2,98.5,32.3,69.1,6.8,5.6,13.1,13.1,11.0,35.3,2003
San Antonio Spurs,82,57,25,48.2,93.1,32.5,71.0,8.1,6.5,14.5,11.9,10.6,36.4,2003
Los Angeles Lakers,82,56,26,48.4,100.1,30.9,70.1,8.3,4.6,14.5,13.1,11.0,37.7,2003
Sacramento Kings,82,55,27,48.2,103.2,30.4,67.6,8.7,4.0,15.1,14.1,13.2,42.6,2003
Detroit Pistons,82,54,28,48.2,93.9,30.4,68.6,8.0,7.0,14.6,12.7,10.3,33.7,2003
Dallas Mavericks,82,52,30,48.3,105.9,31.0,68.6,8.0,5.3,13.9,13.2,14.4,44.0,2003
Memphis Grizzlies,82,50,32,48.5,100.8,29.0,65.5,9.7,6.9,15.5,15.0,13.1,41.4,2003
New Jersey Nets,82,47,35,48.1,96.4,30.2,71.1,8.6,3.9,15.5,11.4,11.0,33.1,2003
Houston Rockets,82,45,37,48.6,97.8,32.3,70.8,6.8,5.4,17.1,12.4,10.3,30.3,2003
Denver Nuggets,82,43,39,48.1,101.4,29.1,66.4,9.1,6.3,16.4,14.2,14.0,42.9,2003
Miami Heat,82,42,40,48.2,100.3,30.0,70.7,7.2,3.8,15.2,12.2,9.9,33.5,2003
Utah Jazz,82,42,40,48.2,101.3,27.7,69.1,7.1,6.0,17.0,11.7,11.5,32.2,2003
Milwaukee Bucks,82,41,41,48.2,103.5,30.5,69.0,6.8,4.7,14.8,13.4,13.2,40.6,2003
New Orleans Hornets,82,41,41,48.4,100.6,29.5,68.1,8.6,4.2,16.1,13.1,11.5,37.4,2003
Portland Trail Blazers,82,41,41,48.7,103.5,29.0,67.0,7.5,5.4,16.5,13.8,12.2,38.9,2003
New York Knicks,82,39,43,48.5,101.3,31.0,70.1,7.4,4.8,17.0,12.6,10.7,34.7,2003
Golden State Warriors,82,37,45,48.4,102.6,30.9,69.4,7.0,4.7,15.3,13.4,12.2,38.7,2003
Seattle SuperSonics,82,37,45,48.3,106.4,28.3,65.5,8.1,4.7,17.2,15.2,13.5,39.0,2003
Boston Celtics,82,36,46,48.1,102.2,29.8,65.8,9.4,4.0,17.6,14.7,12.1,35.5,2003
Cleveland Cavaliers,82,35,47,48.4,103.1,31.9,68.8,7.1,6.5,15.7,13.4,13.1,38.1,2003
Philadelphia 76ers,82,33,49,48.4,100.4,29.4,68.1,8.0,4.4,16.8,13.3,11.9,36.6,2003
Toronto Raptors,82,33,49,48.7,98.8,29.5,67.3,7.4,4.9,14.5,13.9,11.3,37.7,2003
Phoenix Suns,82,29,53,48.1,104.2,29.3,66.1,9.0,4.7,17.0,15.0,11.2,40.0,2003
Atlanta Hawks,82,28,54,48.5,103.9,30.6,68.6,7.6,5.0,18.9,14.0,13.7,40.0,2003
Los Angeles Clippers,82,28,54,48.3,106.6,29.5,67.7,7.2,4.6,18.7,14.4,11.1,42.7,2003
Washington Wizards,82,25,57,48.4,102.9,29.2,66.7,8.9,5.0,20.1,13.6,15.9,40.0,2003
Chicago Bulls,82,23,59,48.4,102.1,30.7,67.9,8.0,4.8,17.4,13.2,12.0,36.5,2003
Orlando Magic,82,21,61,48.4,108.8,28.7,65.7,6.7,3.8,16.7,15.4,14.1,44.8,2003
Dallas Mavericks,82,60,22,48.2,101.0,31.0,67.7,8.1,5.5,12.4,14.3,12.3,38.5,2002
San Antonio Spurs,82,60,22,48.4,98.1,31.2,68.7,7.7,6.5,16.7,14.0,12.2,37.5,2002
Sacramento Kings,82,59,23,48.4,97.8,33.5,67.8,9.0,5.6,15.6,14.6,12.4,38.2,2002
Minnesota Timberwolves,82,51,31,48.3,102.5,31.9,69.5,6.7,5.3,15.0,13.8,11.7,38.2,2002
Detroit Pistons,82,50,32,48.5,98.2,29.8,70.7,6.8,5.7,14.0,11.7,10.2,34.0,2002
Los Angeles Lakers,82,50,32,48.6,103.4,31.1,69.3,7.8,5.7,15.9,13.8,11.9,37.7,2002
Portland Trail Blazers,82,50,32,48.4,101.5,29.0,68.9,8.8,3.9,17.2,13.3,12.9,38.0,2002
New Jersey Nets,82,49,33,48.2,96.6,30.8,70.2,8.7,4.6,15.6,12.3,10.9,34.2,2002
Indiana Pacers,82,48,34,48.5,99.6,32.0,69.4,8.5,5.4,16.3,13.7,13.8,37.9,2002
Philadelphia 76ers,82,48,34,48.4,100.6,29.5,70.4,10.3,3.5,16.3,12.3,13.8,36.8,2002
New Orleans Hornets,82,47,35,48.5,100.0,30.2,69.7,8.0,4.8,15.9,13.2,12.0,38.6,2002
Utah Jazz,82,47,35,48.2,101.1,29.0,67.3,8.6,5.7,17.6,12.9,11.7,35.3,2002
Boston Celtics,82,44,38,48.4,100.5,30.1,69.1,8.8,3.7,15.0,13.5,11.2,31.9,2002
Phoenix Suns,82,44,38,48.3,101.3,29.8,67.2,8.1,4.9,15.2,15.2,10.4,39.1,2002
Houston Rockets,82,43,39,48.6,100.9,31.3,69.8,7.2,6.0,16.5,13.2,10.7,34.8,2002
Milwaukee Bucks,82,42,40,48.5,106.9,28.9,66.6,7.6,4.2,14.4,15.0,11.9,38.6,2002
Orlando Magic,82,42,40,48.3,103.7,29.2,68.0,8.5,3.7,15.4,14.0,12.5,40.5,2002
Seattle SuperSonics,82,40,42,48.4,102.6,29.1,68.8,8.3,3.6,15.0,13.1,12.5,36.4,2002
Golden State Warriors,82,38,44,48.2,107.7,31.0,66.3,7.2,6.2,18.2,16.0,14.1,44.5,2002
New York Knicks,82,37,45,48.4,104.6,29.0,68.9,7.1,3.1,15.9,12.9,10.4,41.4,2002
Washington Wizards,82,37,45,48.4,102.6,29.2,68.6,7.6,4.8,15.2,13.7,11.7,35.7,2002
Atlanta Hawks,82,35,47,48.5,104.2,31.2,68.1,7.5,5.8,19.0,14.7,13.2,39.1,2002
Chicago Bulls,82,30,52,48.6,104.2,31.0,67.2,7.4,5.6,18.6,14.3,12.6,39.1,2002
Memphis Grizzlies,82,28,54,48.6,105.9,30.1,65.9,7.9,6.1,16.8,15.3,13.8,45.5,2002
Los Angeles Clippers,82,27,55,48.2,105.1,30.0,67.3,7.0,5.6,17.2,14.8,9.9,40.4,2002
Miami Heat,82,25,57,48.4,101.2,30.0,70.9,7.2,4.0,15.0,11.9,10.4,35.3,2002
Toronto Raptors,82,24,58,48.3,105.6,28.7,67.8,7.4,4.8,15.9,14.2,18.3,43.2,2002
Cleveland Cavaliers,82,17,65,48.4,105.1,31.0,69.7,7.8,6.4,20.3,13.1,16.3,39.5,2002
Denver Nuggets,82,17,65,48.1,100.1,28.8,69.7,8.7,5.1,19.4,11.3,13.9,35.0,2002
Sacramento Kings,82,61,21,48.2,99.7,33.0,69.0,9.0,4.6,14.4,14.5,12.8,41.5,2001
Los Angeles Lakers,82,58,24,48.2,100.4,31.8,68.6,7.6,5.8,13.7,14.6,10.7,37.0,2001
San Antonio Spurs,82,58,24,48.4,98.5,31.3,68.5,7.6,6.5,15.1,13.9,12.5,37.3,2001
Dallas Mavericks,82,57,25,48.5,106.0,31.3,68.3,7.1,4.8,14.2,15.1,13.6,43.5,2001
New Jersey Nets,82,52,30,48.4,98.1,30.7,68.3,8.7,6.0,14.6,13.0,10.8,35.3,2001
Detroit Pistons,82,50,32,48.0,100.9,28.9,67.6,7.9,6.9,16.0,13.2,11.2,36.0,2001
Minnesota Timberwolves,82,50,32,48.3,104.1,31.2,70.3,6.4,5.2,15.4,13.8,11.7,38.0,2001
Boston Celtics,82,49,33,48.4,99.9,31.3,69.5,9.7,3.6,14.9,13.6,12.6,30.9,2001
Portland Trail Blazers,82,49,33,48.4,102.6,29.8,70.3,8.6,4.5,15.3,12.6,12.6,36.8,2001
Seattle SuperSonics,82,45,37,48.4,104.1,28.5,65.6,8.5,4.4,15.3,14.7,13.1,38.5,2001
Charlotte Hornets,82,44,38,48.2,101.8,30.5,68.9,8.0,5.6,14.7,14.3,12.3,36.4,2001
Orlando Magic,82,44,38,48.4,104.1,29.7,66.5,8.1,4.7,14.6,14.9,14.7,42.0,2001
Utah Jazz,82,44,38,48.4,102.9,28.6,68.3,9.1,6.4,17.2,12.8,11.9,35.0,2001
Philadelphia 76ers,82,43,39,48.1,98.7,30.9,70.2,8.6,4.4,15.4,11.9,13.4,33.3,2001
Indiana Pacers,82,42,40,48.5,102.4,31.3,68.6,8.0,5.3,15.5,14.7,13.8,39.1,2001
Toronto Raptors,82,42,40,48.2,101.7,28.5,67.1,8.4,5.6,15.3,13.5,16.2,35.4,2001
Milwaukee Bucks,82,41,41,48.5,105.6,31.2,67.9,7.3,4.7,15.9,13.9,12.0,37.0,2001
Los Angeles Clippers,82,39,43,48.3,104.7,30.2,67.3,6.2,6.6,15.8,15.3,10.0,42.0,2001
Washington Wizards,82,37,45,48.1,104.5,29.2,68.5,7.0,4.3,15.1,13.3,12.6,36.0,2001
Miami Heat,82,36,46,48.6,99.0,31.0,71.0,6.7,5.5,16.3,12.0,11.4,33.4,2001
Phoenix Suns,82,36,46,48.4,102.6,29.6,67.2,8.1,4.9,16.1,14.5,11.7,38.2,2001
Atlanta Hawks,82,33,49,48.2,104.8,29.8,68.9,8.1,4.3,17.8,13.8,16.7,40.7,2001
New York Knicks,82,30,52,48.3,104.6,30.0,68.4,6.8,3.5,17.0,13.5,11.1,38.0,2001
Cleveland Cavaliers,82,29,53,48.4,107.0,30.3,69.0,7.0,5.7,16.6,13.4,13.0,39.7,2001
Houston Rockets,82,28,54,48.7,106.9,29.4,67.5,6.5,5.4,16.1,14.4,12.7,41.5,2001
Denver Nuggets,82,27,55,48.3,106.6,28.2,66.8,7.5,5.6,16.9,14.6,15.3,41.1,2001
Memphis Grizzlies,82,23,59,48.2,104.7,29.4,66.3,7.9,6.0,17.9,14.1,14.3,43.6,2001
Chicago Bulls,82,21,61,48.3,106.2,28.8,68.5,7.7,4.4,16.3,13.3,11.5,37.6,2001
Golden State Warriors,82,21,61,48.2,107.1,30.4,66.9,7.9,6.4,18.6,14.6,14.3,46.0,2001
San Antonio Spurs,82,58,24,48.4,96.6,33.1,70.3,6.9,7.0,14.8,12.0,12.3,34.0,2000
Los Angeles Lakers,82,56,26,48.5,103.6,31.5,69.1,6.9,6.0,16.0,13.5,12.8,37.9,2000
Philadelphia 76ers,82,56,26,48.4,97.3,31.7,70.4,8.4,5.0,16.2,12.6,13.5,36.6,2000
Sacramento Kings,82,55,27,49.0,98.5,33.0,67.9,9.7,5.3,16.1,13.5,13.9,39.4,2000
Dallas Mavericks,82,53,29,48.3,101.2,31.4,67.8,7.5,6.0,15.4,14.2,13.3,40.9,2000
Utah Jazz,82,53,29,48.2,100.9,29.1,70.1,8.1,5.6,15.9,12.5,10.8,32.1,2000
Milwaukee Bucks,82,52,30,48.2,102.6,30.5,68.3,8.2,4.7,14.9,14.5,12.2,36.9,2000
Phoenix Suns,82,51,31,48.3,96.7,30.8,70.2,9.5,5.2,16.1,12.6,13.1,36.3,2000
Miami Heat,82,50,32,48.5,97.1,29.7,70.0,7.7,3.7,14.4,12.2,10.0,35.8,2000
Portland Trail Blazers,82,50,32,48.2,100.5,30.3,70.0,8.2,5.1,15.7,12.6,11.2,36.4,2000
New York Knicks,82,48,34,48.5,97.0,30.8,70.7,6.6,4.2,15.4,10.7,7.3,30.2,2000
Minnesota Timberwolves,82,47,35,48.4,102.4,30.1,68.2,8.3,5.6,15.5,13.3,12.6,41.0,2000
Toronto Raptors,82,47,35,48.7,102.0,30.8,70.0,7.3,6.3,14.3,13.6,17.0,39.6,2000
Charlotte Hornets,82,46,36,48.5,97.6,31.8,71.0,8.1,5.5,15.6,12.9,10.5,35.4,2000
Houston Rockets,82,45,37,48.4,102.8,30.8,69.1,7.2,4.4,16.1,14.1,11.7,38.2,2000
Seattle SuperSonics,82,44,38,48.3,104.2,29.5,66.8,8.0,5.0,17.0,13.9,14.4,39.6,2000
Orlando Magic,82,43,39,48.7,101.1,29.9,66.2,8.2,5.9,16.1,14.5,13.3,37.0,2000
Indiana Pacers,82,41,41,48.7,100.5,31.6,68.5,6.9,5.9,15.5,13.3,12.8,34.2,2000
Denver Nuggets,82,40,42,48.2,104.9,31.5,69.0,6.7,6.6,15.2,13.9,15.0,41.9,2000
Boston Celtics,82,36,46,48.4,102.3,28.9,69.0,9.4,4.1,17.0,13.0,13.4,35.9,2000
Detroit Pistons,82,32,50,48.4,100.3,32.0,69.1,7.5,5.5,16.4,13.4,13.6,35.4,2000
Los Angeles Clippers,82,31,51,48.9,103.2,31.2,68.2,6.0,6.3,16.7,13.6,10.8,41.6,2000
Cleveland Cavaliers,82,30,52,48.4,103.5,29.8,67.8,7.8,5.3,18.5,13.8,14.6,36.6,2000
